Semaphore, 12, 0
Semaphore, 13, 0
Semaphore, 36, 0
Semaphore, 24, 0
Semaphore, 46, 0
Semaphore, 65, 0 
Semaphore, 5ab, 0
Semaphore, 5ba, 1
Semaphore, 51, 1
Semaphore, 67, 0
Semaphore, 78, 0
Semaphore, 89, 0
Semaphore, 910, 0
Semaphore, 911, 0
Semaphore, 91, 0
Mutex, 234
Mutex, 345
Mutex, 8910
Mutex, 711
Activity, 1, 4, 51;91, 12;13, x
Activity, 2, 4, 12, 24, 234;345
Activity, 3, 2, 13, 36, 234
Activity, 4, 8, 24, 46, 234
Activity, 5a, 4, 65;5ba, 5ab, x
Activity, 5b, 4, 5ab, 51;5ba, x
Activity, 6, 4, 46:36, 65;67, x
Activity, 7, 4, 67, 78, 711
Activity, 8, 4, 78, 89, 8910
Activity, 9, 4, 89, 910, 8910
Activity, 10, 4, 910, 911, 8910
Activity, 11, 4, 911, 91, 711
Task, 1, 1
Task, 2, 2
Task, 3, 3
Task, 4, 4
Task, 5, 5a;5b
Task, 6, 6
Task, 7, 7
Task, 8, 8
Task, 9, 9
Task, 10, 10
Task, 11, 11
